word,definitionEnglish,definitionNative,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,dialect,pos,domain
Bwiino,Ink can be used for both painting and writing.,Bwiino eteera ebisisani eyongera ehandiika.,Bwiino eteera ebisisani eyongera ehandiika.,Ink can be used for both painting and writing.,,,Both,,
Abakorongi,The Abakorongi who do the ritural of milking .,Abanyamirwa abakamira omukama .,Abanyamirwa abakamira omukama .,The Abakorongi who do the ritural of milking .,,,Both,,
omwihangwe,It is noon time.,Esaaha z'ihangwe.,Esaaha z'ihangwe.,It is noon time.,,,Both,,
Karaamu y’abwino,It’s not easy to erase a pen writing.,Karaamu y’abwino teyanguhiri kusimuurwa.,Karaamu y’abwino teyanguhiri kusimuurwa.,It’s not easy to erase a pen writing.,,,Both,,
Karaamu,He drew the picture using a pencil.,Akateera ekisisani nakozesa Karaamu.,Akateera ekisisani nakozesa Karaamu.,He drew the picture using a pencil.,,,Both,,
Omwoleko,We visited the exhibition to see beautiful paintings.,Tukarambura Omwoleko kurora ebisisani ebisigirwe.,Tukarambura Omwoleko kurora ebisisani ebisigirwe.,We visited the exhibition to see beautiful paintings.,,,Both,,
omurwebagyo,It is evening time.,Obwire bwa rw'ebagyo bwahika.,Obwire bwa rw'ebagyo bwahika.,It is evening time.,,,Both,,
nikitundwa,The price of the commodity is low.,Nikitundwa omuhendo mutaito.,Nikitundwa omuhendo mutaito.,The price of the commodity is low.,,,Both,,
Tinkakisuraga,i will never forget this day.,Tinkakisuraga kwebwa ekiro kinu.,Tinkakisuraga kwebwa ekiro kinu.,i will never forget this day.,,,Both,,
obundinobundi,Sometimes you need a break from work.,"Obundinobundi noyetaaga kuhumura, hanyuma y'omusomo.","Obundinobundi noyetaaga kuhumura, hanyuma y'omusomo.",Sometimes you need a break from work.,,,Both,,
Eryahuurro ry’ebyakara,The museum has very unique things.,Eryahuurro ry’ebyakara lirinda ebintu ebyembaganiza muno.,Eryahuurro ry’ebyakara lirinda ebintu ebyembaganiza muno.,The museum has very unique things.,,,Both,,
bulikasumi,She often reads books before dinner.,Buli kasumi asoma ebitabu atakalireekyekiro.,Buli kasumi asoma ebitabu atakalireekyekiro.,She often reads books before dinner.,,,Both,,
Eryolekero ryebyokwehangahanga,The students have gone to the art gallery.,Abeegi bagenzire hai Eryolekero ryebyokwehangahanga.,Abeegi bagenzire hai Eryolekero ryebyokwehangahanga.,The students have gone to the art gallery.,,,Both,,
Omwoleko gw’ebibuma,People are taking photos in the sculpture garden.,Abantu nibateza ebisisani Omwoleko gw’ebibuma.,Abantu nibateza ebisisani Omwoleko gw’ebibuma.,People are taking photos in the sculpture garden.,,,Both,,
Sabbiti,We shall go to church on Sunday.,Ntwija kugenda mwiramizo Sabbiti.,Ntwija kugenda mwiramizo Sabbiti.,We shall go to church on Sunday.,,,Both,,
Kyamukaga,I will invite my friend for lunch on Saturday.,Ninyija kuraliza munywani wange hakyamusana kyamukaga.,Ninyija kuraliza munywani wange hakyamusana kyamukaga.,I will invite my friend for lunch on Saturday.,,,Both,,
Kyakatano,They will go on Friday to visit their grandfather.,Nibagenda kyakatano kubungira Isenkurubo.,Nibagenda kyakatano kubungira Isenkurubo.,They will go on Friday to visit their grandfather.,,,Both,,
Kyakana,I will go to check on child at school on Thursday.,Ningenda kurora omwana haisomero kyakana.,Ningenda kurora omwana haisomero kyakana.,I will go to check on child at school on Thursday.,,,Both,,
tikiri kyabuli kasumi,I rarely walk at night.,Tikiri kyabuli kasumi nyowe kurubata ekiro.,Tikiri kyabuli kasumi nyowe kurubata ekiro.,I rarely walk at night.,,,Both,,
kunoba,I dislike standing for long hours.,Leka kunoba mugenzi wawe.,Leka kunoba mugenzi wawe.,I dislike standing for long hours.,,,Both,,
ninyetaaga,I want peace in my life.,Ninyetaaga obusinge mubwomeezi bwange.,Ninyetaaga obusinge mubwomeezi bwange.,I want peace in my life.,,,Both,,
omwoleki abaazani,a good director brings the story live on stage or screen,omwoleki wa abaazani omurungi aihayo omuuzano gworututu rundi ogwo kubiri,omwoleki wa abaazani omurungi aihayo omuuzano gworututu rundi ogwo kubiri,a good director brings the story live on stage or screen,,,Both,,
nayetegya,Gotcha you want my help.,Nayetegya nogonza nkukonyere.,Nayetegya nogonza nkukonyere.,Gotcha you want my help.,,,Both,,
tinyetegerize,I don't understand what you are talking about.,Tinyetegerize ekyorukugambaho.,Tinyetegerize ekyorukugambaho.,I don't understand what you are talking about.,,,Both,,
arukwolera ebyaruuti mu izaniro,a skilled director helps on the story flow on stage,omuhabuzi wabaazani omuginga oiwizaaniro mozaano kurungi,omuhabuzi wabaazani omuginga oiwizaaniro mozaano kurungi,a skilled director helps on the story flow on stage,,,Both,,
Kyakasatu,I have adentist appointment on Wednesday morning.,Ndagane n'omufumu wamaino kyakasatu nyekyakara.,Ndagane n'omufumu wamaino kyakasatu nyekyakara.,I have adentist appointment on Wednesday morning.,,,Both,,
Ekibumbe nyaisatu.,He make a sculpture.,Akakora Ekibumbe nyaisatu.,Akakora Ekibumbe nyaisatu.,He make a sculpture.,,,Both,,
Eby’okwehangahanga mumyaaka eyahaihi,Modern art is very expensive.,Eby’okwehangahanga mumyaaka eyahaihi babitunda sente nyingi.,Eby’okwehangahanga mumyaaka eyahaihi babitunda sente nyingi.,Modern art is very expensive.,,,Both,,
Nyabitaka bahoga,Surrealism shows shows dreamlike and unusual scenes.,Nyabitaka bahoga Mulingo ogwoleka ebitabaho mubwomeezi.,Nyabitaka bahoga Mulingo ogwoleka ebitabaho mubwomeezi.,Surrealism shows shows dreamlike and unusual scenes.,,,Both,,
Enyombeka rupimwa,Cubism is used on construction sites.,Enyombeka rupimwa ekozesibwa ha byombeko.,Enyombeka rupimwa ekozesibwa ha byombeko.,Cubism is used on construction sites.,,,Both,,
Ekisisani munyikara etali emu.,The art piece he painted showed expressionism.,Ekisisani yasigire kikooleka enyikara etali emu.,Ekisisani yasigire kikooleka enyikara etali emu.,The art piece he painted showed expressionism.,,,Both,,
nomanyisaki,What do you mean to talk like that?,Nomanyisaki kubaza oti?,Nomanyisaki kubaza oti?,What do you mean to talk like that?,,,Both,,
Erangi nyakaituru,A shade is a color that becomes darker when black is added.,Erangi nyakaituru kakuba oyongera erangi erukwiragura murangi yoon.,Erangi nyakaituru kakuba oyongera erangi erukwiragura murangi yoon.,A shade is a color that becomes darker when black is added.,,,Both,,
Omuhikiriza w'ebyetaago,The producer hires the actors and crew.,Omuhikiriza w'ebyetaago apangisa abazaani n'abakozi boona.,Omuhikiriza w'ebyetaago apangisa abazaani n'abakozi boona.,The producer hires the actors and crew.,,,Both,,
Ensyangaturana yerangi,The mixing of colors may change the hue.,Ensyangaturana yerangi egihaho ibara eryabandize.,Ensyangaturana yerangi egihaho ibara eryabandize.,The mixing of colors may change the hue.,,,Both,,
kukinga,Shut that door.,King orwigi oru.,King orwigi oru.,Shut that door.,,,Both,,
kutahamu,Come in and have a sit.,Tahamu oikale.,Tahamu oikale.,Come in and have a sit.,,,Both,,
Ekisisani ekiigamiire,The relief needs to be supported.,Ekisisani ekiigamiire nikyetaga obusagikii.,Ekisisani ekiigamiire nikyetaga obusagikii.,The relief needs to be supported.,,,Both,,
kugenda,I'm going to my friend's place.,ningenda omwamunywani wange.,ningenda omwamunywani wange.,I'm going to my friend's place.,,,Both,,
Ekipiripyo,Glaze makes pottery shiny.,Ekipiripyo kyangasaniza ebibumbirwe.,Ekipiripyo kyangasaniza ebibumbirwe.,Glaze makes pottery shiny.,,,Both,,
Pikipiki,The boda boda stoped near the shop.,Pikipiki ekemerra haihi ne duuka.,Pikipiki ekemerra haihi ne duuka.,The boda boda stoped near the shop.,,,Both,,
Rubata,Take a walk every morning.,Rubata buli nyekyakara.,Rubata buli nyekyakara.,Take a walk every morning.,,,Both,,
Vuga,She knows how to drive a vehicle.,Amanyire ku vuga ekiruka.,Amanyire ku vuga ekiruka.,She knows how to drive a vehicle.,,,Both,,
Kukingira,blocking someone from entering,kutanga entahulizi,,,,,Mixed,N,DLY
Kwookya,Firing pottery makes it stronger and durable.,Kwookya ebibumbiirwe kyoongera kugumya nokuhangaza.,Kwookya ebibumbiirwe kyoongera kugumya nokuhangaza.,Firing pottery makes it stronger and durable.,,,Both,,
Etanuuro,The kiln always has a lot of heat.,Etanuuro ebamu omurro mwingi.,Etanuuro ebamu omurro mwingi.,The kiln always has a lot of heat.,,,Both,,
Kubinga,It is not good to ride a motorcycle on a high speed.,Tikiri kirungi kubinga pikipiki hanziriga.,Tikiri kirungi kubinga pikipiki hanziriga.,It is not good to ride a motorcycle on a high speed.,,,Both,,
Ebibumbirwe ebyokiibwe,She learnt to model ceramics in her arts class.,Akeega Kubumba Ebibumbirwe ebyokiibwe mukitebe kyaabo.,Akeega Kubumba Ebibumbirwe ebyokiibwe mukitebe kyaabo.,She learnt to model ceramics in her arts class.,,,Both,,
Akakonge,We need a ticket to watch the games.,Nitwetaaga akakonge kusunga emizaano.,Nitwetaaga akakonge kusunga emizaano.,We need a ticket to watch the games.,,,Both,,
Ebisale,The fare of the train has been increased.,Batembeze ebisale by'egaali y'omwika.,Batembeze ebisale by'egaali y'omwika.,The fare of the train has been increased.,,,Both,,
Ibumba,Clay is got from wells.,Ibumba baliha mu iziiba.,Ibumba baliha mu iziiba.,Clay is got from wells.,,,Both,,
Kubumba.,Modeling cups requires clay.,Kubumba ebikopo nikwetagiisa ibumba.,Kubumba ebikopo nikwetagiisa ibumba.,Modeling cups requires clay.,,,Both,,
Urani,The urn makes the living room look beautiful.,Urani nesemeza omuryango.,Urani nesemeza omuryango.,The urn makes the living room look beautiful.,,,Both,,
Omudimo,Mother advised me to serve porridge using a jug.,Mau akampabura kuihura obusera nomudimo.,Mau akampabura kuihura obusera nomudimo.,Mother advised me to serve porridge using a jug.,,,Both,,
Erangi rutemaliirra,Secondary colors produce primary colors.,Erangi rutemaliirra zirugamu erangi rwemaliirra.,Erangi rutemaliirra zirugamu erangi rwemaliirra.,Secondary colors produce primary colors.,,,Both,,
Nyakwekambisa,The muse inspire me to start creative works.,Nyakwekambisa akantamu amaani g’okutandika kwehangahanga.,Nyakwekambisa akantamu amaani g’okutandika kwehangahanga.,The muse inspire me to start creative works.,,,Both,,
Ekisisani ekyaange.,My self portrait makes me very happy.,Ekisisani ekyaange ninkisemeza muno.,Ekisisani ekyaange ninkisemeza muno.,My self portrait makes me very happy.,,,Both,,
Omurabyo,Lightening can be dangerous.,Omurabyo nigusobora kuba gwakabi.,Omurabyo nigusobora kuba gwakabi.,Lightening can be dangerous.,,,Both,,
Kujwara,Put on a nice dress.,Jwara ekiteteyi kirungi.,Jwara ekiteteyi kirungi.,Put on a nice dress.,,,Both,,
kutunga,I want to get another place.,Ningonza kutunga ekikaro ekindi.,Ningonza kutunga ekikaro ekindi.,I want to get another place.,,,Both,,
Ekisisani ky’omuntu,The king’s portrait sold highly on the fundraising day.,"Hakiro kyokusoroza sente, ekisisani ky’omukama bakakigura sente nyingi.","Hakiro kyokusoroza sente, ekisisani ky’omukama bakakigura sente nyingi.",The king’s portrait sold highly on the fundraising day.,,,Both,,
Ekyokuragiira,The teacher showed an illustration so that he could explain the lesson.,Omusomesa akataho Ekyokuragiira nukwo asooboorre isomo.,Omusomesa akataho Ekyokuragiira nukwo asooboorre isomo.,The teacher showed an illustration so that he could explain the lesson.,,,Both,,
kakobe,The sky turned to purple at sunset.,Izooba likatooka kakobe oburyali nirigorooba.,Izooba likatooka kakobe oburyali nirigorooba.,The sky turned to purple at sunset.,,,Both,,
Ekisisani ekitafirweho,The doodle made him fail his exam.,Ekisisani ekitafirweho kikamugwisa ebigezo.,Ekisisani ekitafirweho kikamugwisa ebigezo.,The doodle made him fail his exam.,,,Both,,
Entandiko mukisisani,The teacher gave the students a sketch.,Omusomesa abahaire Entandiko mukisisani.,Omusomesa abahaire Entandiko mukisisani.,The teacher gave the students a sketch.,,,Both,,
kitunguhya,I saw a pink piece of clothe.,Orugoye ndozire rubaire rwerangi ya kitunguhya.,Orugoye ndozire rubaire rwerangi ya kitunguhya.,I saw a pink piece of clothe.,,,Both,,
kikusikusi,The color of the trouser is gray.,Empali egi yakikusikusi.,Empali egi yakikusikusi.,The color of the trouser is gray.,,,Both,,
Amakara,"Charcoal drawings have deep, rich black tone.",Ebisisani bitiirwe amakara byoleka okwiragura okunyakuhamire.,Ebisisani bitiirwe amakara byoleka okwiragura okunyakuhamire.,"Charcoal drawings have deep, rich black tone.",,,Both,,
Ekirangi kyentabuzi yonyini,Pastel is rare.,Ekirangi kyentabuzi yonyini tekukanya.,Ekirangi kyentabuzi yonyini tekukanya.,Pastel is rare.,,,Both,,
obwire,The time has clocked by midday.,Obwire buhirire saaha mukaaga ez'ihangwe.,Obwire buhirire saaha mukaaga ez'ihangwe.,The time has clocked by midday.,,,Both,,
Erangi ekwasire,Gouache is loved because of it’s long lasting effect.,Abantu bagonza Erangi ekwasire habw’obuhangazi.,Abantu bagonza Erangi ekwasire habw’obuhangazi.,Gouache is loved because of it’s long lasting effect.,,,Both,,
Erangi y’amaizi,Watercolor easily wears off.,Erangi y’amaizi erahuka kusiimuka.,Erangi y’amaizi erahuka kusiimuka.,Watercolor easily wears off.,,,Both,,
Omuhyo,"The knife is used for cutting meat and peeling bananas, cassava, sweat potatoes.","Omuyo bagusaza enyama, n'okuhaata ebitooke, muhongo, ebitakuli.","Omuyo bagusaza enyama, n'okuhaata ebitooke, muhongo, ebitakuli.","The knife is used for cutting meat and peeling bananas, cassava, sweat potatoes.",,,Both,,
Ekigiko,I used the spoon to eat soup.,Omucuzi ngulisize ekigiko.,Omucuzi ngulisize ekigiko.,I used the spoon to eat soup.,,,Both,,
Ekicweeka ky’omuntu ekyeruguru,The bust was very small.,Ekicweeka ky’omuntu ekyeruguru kali kitaito.,Ekicweeka ky’omuntu ekyeruguru kali kitaito.,The bust was very small.,,,Both,,
Akatambara kahakifuba,The napkin is used for covering the chest before eating.,Akatambara akokweswekerra hakifuba norya otakalire.,Akatambara akokweswekerra hakifuba norya otakalire.,The napkin is used for covering the chest before eating.,,,Both,,
Nambere baguliza ebyokunywa birukwokya,A drinking place which has conducive.,Ekikaro hokwikarra nibanywera ebyokunywa.,Ekikaro hokwikarra nibanywera ebyokunywa.,A drinking place which has conducive.,,,Both,,
Akabumbirwe,He used very little time to make the figurine.,Akabumbirwe kakamwanguhira muno.,Akabumbirwe kakamwanguhira muno.,He used very little time to make the figurine.,,,Both,,
Ekibumbirwe nyaisatu,The statue was knocked by a car.,Ekibumbirwe nyaisatu Kitomirwe motoka.,Ekibumbirwe nyaisatu Kitomirwe motoka.,The statue was knocked by a car.,,,Both,,
Omubimbi wa nyaisatu,The sculptor takes a lot of time.,Omubimbi wa nyaisatu akozesa obwire bwingi.,Omubimbi wa nyaisatu akozesa obwire bwingi.,The sculptor takes a lot of time.,,,Both,,
Erukwera,The doctor wears a white coat.,Omufumu ajwara ekizibaho ky'erangi erukwera.,Omufumu ajwara ekizibaho ky'erangi erukwera.,The doctor wears a white coat.,,,Both,,
Orugoye orugumire,She sells canvas.,Atunda Orugoye orugumire .,Atunda Orugoye orugumire .,She sells canvas.,,,Both,,
Ebyabiro binu,Contemporary art is best understood by youths.,Ebyabiro binu nobyetegerezibwa ensingato.,Ebyabiro binu nobyetegerezibwa ensingato.,Contemporary art is best understood by youths.,,,Both,,
Obugabe bwediini,Religion freedom is evident in Uganda.,Obugabe bwediini niburorwa omu Uganda.,Obugabe bwediini niburorwa omu Uganda.,Religion freedom is evident in Uganda.,,,Both,,
Etukura,He is wearing a red hat.,Omusigazi ajwaire esapeho erukutukura.,Omusigazi ajwaire esapeho erukutukura.,He is wearing a red hat.,,,Both,,
Okugumisiriza-ngana,Tolerance has established religious on strong foundations.,Okugumisiriza-ngana kwombekere amadiini hamisingi ogugumire.,Okugumisiriza-ngana kwombekere amadiini hamisingi ogugumire.,Tolerance has established religious on strong foundations.,,,Both,,
Okubaza hamu,Dialogue among religious leaders has reduced quarrels that existed back then.,Okubaza hamu kikeheze enkungani mu madiini okwabahoga ira.,Okubaza hamu kikeheze enkungani mu madiini okwabahoga ira.,Dialogue among religious leaders has reduced quarrels that existed back then.,,,Both,,
